nome,indirizzo,CAP,comune,provincia,lat_comune,lon_comune
Golf Parco dei Colli,"Via Luino, 8",24129,Bergamo,BG,45.6944,9.6684
Borgo Machetto Desenzano C. Club,"Via Machetto, 1",25015,Desenzano del Garda,BS,45.4686,10.5416
Ctl 3,"Via Manzoni, 3",20886,Cavenago di Brianza,MB,45.5853,9.4149
Circolo Golf Torino-La Mandria,Via Agnelli 40,10070,Fiano,TO,45.2181,7.5198
Albatros Indoor,"Via Cascina Nuova, 27",13875,Ponderano,BI,45.5386,8.0568
Bollina,"Via Monterotondo, 58",15069,Serravalle Scrivia,AL,44.7195,8.859
Le Rosine,"Strada del Gerbido, 97",10095,Grugliasco,TO,45.0621,7.5778
Piandisole,"Via Pineta, 1",28818,Premeno,VB,45.9771,8.5915
Golf 2.0,"Via della Ceramica, 9",36100,Vicenza,VI,45.5475,11.546
Terre di Canossa,"Via del Casinazzo, 1 - Loc. San Bartolomeo",42123,Reggio nell'Emilia,RE,44.6974,10.6301
Bellator Hernicus,Via Casilina Km 72,03013,Ferentino,FR,41.6923,13.2528
Talenti,"Via Paolo Monelli, 42",00137,Roma,RM,41.8928,12.4837
Terra Sancti,Via Solfegna Cantoni snc,03043,Cassino,FR,41.4927,13.8301
Isernia,"S.P. 627 Km 73,450 - Loc. Zio Carlo",86170,Isernia,IS,41.588,14.2258
Abano,Via Carabinieri snc,35031,Abano Terme,PD,45.3594,11.7887
Abbadia,Loc. La Badia 14/A,53034,Colle di Val d'Elsa,SI,43.4212,11.1178
Acaya,Loc. Masseria S. Pietro - Str. Prov. Life km 5,73029,Vernole,LE,40.2885,18.2987
Acquabona,Loc. Acquabona - Strada del Golf 8,57037,Portoferraio,LI,42.8153,10.3312
Adriatic Golf Club Cervia,Via Jelenia Gora 6,48015,Cervia,RA,44.2609,12.3498
Alisei Pietrasanta,Via Spirito Santo 30 - Loc. La Sparta,55045,Pietrasanta,LU,43.9596,10.2277
Alpe della Luna,Via Taramone 2,61040,Borgo Pace,PU,43.6582,12.2946
Alpino,Viale Golf Panorama 48 - Vezzo,28839,Stresa,VB,45.8839,8.5407
Alta Badia,Strada Planac 9,39033,Corvara in Badia,BZ,46.5529,11.8745
Altogarda,Loc. San Tommaso,38066,Riva del Garda,TN,45.885,10.8389
Ambrosiano Golf Club,Cascina Bertacca snc,20080,Bubbiano,MI,45.3273,9.0134
Ancora,Via Armando Diaz 122,30020,Meolo,VE,45.619,12.4527
Antico Borgo Camuzzago,Via del Borgo 6,20882,Bellusco,MB,45.6186,9.4178
Antognolla,Str. S. Giovanni del Pantano - Loc. Antognolla,06133,Perugia,PG,43.1068,12.3882
Aosta Arsanieres,Frazione Arsanieres,11010,Gignod,AO,45.7783,7.2962
Aosta Brissogne,Località Les Iles 3,11020,Brissogne,AO,45.7272,7.4046
Appiano - Golf & Country,Via Carezza 171,39056,Nova Levante,BZ,46.4298,11.5356
Aprica Orobie Golf Club,Corso Roma 150 - Loc. Sondellini,23031,Aprica,SO,46.1533,10.1521
Archi di Claudio,Via Gamiana 45,00178,Roma,RM,41.8928,12.4837
Argenta,Via Poderi 2/A,44011,Argenta,FE,44.6144,11.837
Argentario Golf,Via Acquedotto Leopoldino snc - Porto Ercole,58018,Monte Argentario,GR,42.4392,11.1158
Arona,Via in Prè,28048,Borgo Ticino,NO,45.6881,8.6039
Arzaga Golf Club,Via Arzaga 1,25080,Calvagese della Riviera,BS,45.5392,10.446
Asiago,Via Meltar 2,36012,Asiago,VI,45.8757,11.5091
Asolo Golf Club,Via dei Borghi 1,31034,Cavaso del Tomba,TV,45.8603,11.8952
Assisi,Via S. Bernardino da Siena 116 - S.M. Angeli,06081,Assisi,PG,43.0708,12.6154
Avio 2.0,Via Piane 10,63833,Montegiorgio,FM,43.13,13.5378
Bagnaia,SS 223 Siena-Grosseto km 56 - Loc. Bagnaia,53016,Murlo,SI,43.1685,11.3911
Barialto,SS 100 km 18,70010,Casamassima,BA,40.9554,16.9181
Barlassina Country Club,Via Privata Golf 42,20823,Lentate sul Seveso,MB,45.6782,9.1192
Bat Fly,Contrada Pantaniello snc,76121,Barletta,BT,41.3196,16.2772
Bellosguardo,Via Prov.le di Mercatale 25,50059,Vinci,FI,43.7871,10.9265
Biella Betulle,Regione Valcarrozza 2,13887,Magnano,BI,45.4627,8.0051
Bosco,Via Madonna della Salute 7,31046,Oderzo,TV,45.7809,12.4931
Botanic Sa Cuba,"SS 199 km 54,2 - Loc. Sa Cuba",07026,Olbia,SS,40.9232,9.5049
Boves,Via degli Angeli 3 - Fraz. Mellana,12012,Boves,CN,44.3298,7.552
Break Point,Località Maso Grillo 4,38057,Pergine Valsugana,TN,46.0603,11.2405
Bresciagolf Country Club,Via Stretta 48,25128,Brescia,BS,45.5399,10.2191
Brolo,Via Colbacchini 2,36061,Bassano del Grappa,VI,45.7671,11.7342
CUS Ferrara,Via Gramicia 41,44123,Ferrara,FE,44.836,11.6187
CUS Parma,Parco Area delle Scienze 105/A,43124,Parma,PR,44.8011,10.3283
Ca' Amata,Via Loreggia di Salvarosa 44,31033,Castelfranco Veneto,TV,45.6714,11.9264
Ca' Moro Punto Due,Loc. Casa Corvi,54027,Pontremoli,MS,44.3774,9.8829
Ca' Ulivi,Via Ghiandare 2,37010,Costermano sul Garda,VR,45.5866,10.7385
Ca' Vendri,Via Pantheon 86-88,37142,Verona,VR,45.4384,10.9935
Campo Pratica Golf Monza,Via Giovanni Falcone 15,20835,Muggiò,MB,45.5937,9.2296
Campo Pratica Orsini,Via Bruno Buozzi 4/C,20068,Peschiera Borromeo,MI,45.4318,9.3111
Cansiglio,Pian del Cansiglio,32010,Tambre,BL,46.1293,12.4231
Caorle,Viale Altanea 201,30021,Caorle,VE,45.598,12.8876
Capanne,Via Aurelia km 273,57020,Bibbona,LI,43.2694,10.5982
